iter	Tweedie:variance_power=1.875432
0	191.3606093
1	182.5417999
2	174.1566449
3	166.1839673
4	158.603944
5	151.3972608
6	144.5457457
7	138.0320429
8	131.8398222
9	125.9533509
10	120.3577401
11	115.0387175
12	109.9830392
13	105.1777678
14	100.6107102
15	96.27016626
16	92.1453051
17	88.2254331
18	84.50065288
19	80.96151941
20	77.59901667
21	74.40439029
22	71.36965757
23	68.48694341
24	65.74884616
25	63.1483053
26	60.6786365
27	58.33350906
28	56.10683234
29	53.99272439
30	51.98590019
31	50.08090128
32	48.27307548
33	46.55754109
34	44.92976464
35	43.38547453
36	41.92063732
37	40.53137053
38	39.21392191
39	37.96470368
40	36.78054143
41	35.65829082
42	34.59496278
43	33.58749919
44	32.63316104
45	31.7293657
46	30.87379757
47	30.06404373
48	29.29751602
49	28.57256898
50	27.88686867
51	27.23846516
52	26.62554484
53	26.04648339
54	25.49939456
55	24.98274059
56	24.49500656
57	24.03461337
58	23.60046717
59	23.19106865
60	22.80471654
61	22.44109502
62	22.09836836
63	21.77587082
64	21.47236872
65	21.1865946
66	20.91690977
67	20.66471146
68	20.42777235
69	20.20516905
70	19.99481899
71	19.79748673
72	19.61390351
73	19.44189767
74	19.28015655
75	19.12927617
76	18.9881453
77	18.85411607
78	18.72944213
79	18.61284652
80	18.50513399
81	18.40247884
82	18.30865872
83	18.22124929
84	18.1394996
85	18.06141395
86	17.99059022
87	17.92497556
88	17.86394235
89	17.80634155
90	17.75103463
91	17.6994396
92	17.65329962
93	17.61095421
94	17.56984833
95	17.53049621
96	17.49679603
97	17.4596681
98	17.42483595
99	17.39022591
100	17.36238716
101	17.33246127
102	17.30576939
103	17.28057521
104	17.26038738
105	17.23818283
106	17.21938547
107	17.20217952
108	17.18330872
109	17.16949589
110	17.1532968
111	17.13803297
112	17.12364567
113	17.11026767
114	17.09732185
115	17.08549287
116	17.07709712
117	17.06842518
118	17.05805867
119	17.03765862
120	17.03014601
121	17.00966701
122	16.99051464
123	16.97579274
124	16.96229767
125	16.95360684
126	16.93952721
127	16.93216505
128	16.92292597
129	16.91621836
130	16.90363306
131	16.89315737
132	16.88253468
133	16.87677109
134	16.86787041
135	16.86101181
136	16.85139618
137	16.84427129
138	16.83995945
139	16.83220319
140	16.82403312
141	16.82053441
142	16.81374218
143	16.80868335
144	16.80332333
145	16.7959847
146	16.79273931
147	16.7900806
148	16.7824008
149	16.77894467
150	16.77077834
151	16.76739837
152	16.76531803
153	16.75960523
154	16.75397111
155	16.75074146
156	16.74947593
157	16.74281712
158	16.74052225
159	16.73378597
160	16.72743484
161	16.72097951
162	16.71181808
163	16.70760841
164	16.70314513
165	16.70184808
166	16.69771928
167	16.69266445
168	16.68795797
169	16.683164
170	16.68155381
171	16.67843342
172	16.67441073
173	16.67160564
174	16.66469519
175	16.66058863
176	16.65787217
177	16.65696656
178	16.65454876
179	16.65269643
