iter	Passed	Remaining
0	237	42555
1	509	45388
2	722	42625
3	955	42054
4	1140	39921
5	1327	38489
6	1514	37441
7	1710	36774
8	1969	37416
9	2227	37866
10	2445	37575
11	2661	37259
12	2829	36344
13	3076	36484
14	3217	35388
15	3352	34364
16	3486	33431
17	3638	32749
18	3806	32253
19	3951	31609
20	4079	30886
21	4212	30251
22	4329	29555
23	4460	28993
24	4601	28528
25	4741	28084
26	4887	27694
27	5020	27254
28	5151	26822
29	5296	26482
30	5414	26022
31	5531	25582
32	5661	25219
33	5777	24808
34	5900	24444
35	6061	24245
36	6216	24024
37	6353	23740
38	6479	23424
39	6587	23055
40	6695	22700
41	6814	22389
42	6927	22072
43	7043	21771
44	7157	21473
45	7275	21194
46	7393	20922
47	7500	20626
48	7616	20361
49	7733	20107
50	7851	19859
51	7966	19609
52	8094	19396
53	8233	19211
54	8350	18977
55	8462	18739
56	8583	18523
57	8705	18312
58	8817	18083
59	8929	17859
60	9047	17649
61	9150	17416
62	9256	17190
63	9361	16968
64	9467	16750
65	9580	16547
66	9686	16336
67	9795	16133
68	9910	15942
69	10024	15752
70	10141	15568
71	10256	15384
72	10368	15197
73	10475	15005
74	10600	14840
75	10725	14677
76	10843	14505
77	10950	14319
78	11059	14139
79	11171	13964
80	11287	13795
81	11396	13620
82	11502	13442
83	11617	13276
84	11733	13114
85	11844	12945
86	11940	12763
87	12024	12571
88	12133	12405
89	12241	12241
90	12359	12087
91	12466	11924
92	12574	11763
93	12691	11611
94	12806	11458
95	12920	11305
96	13013	11135
97	13131	10987
98	13242	10834
99	13345	10676
100	13448	10518
101	13552	10363
102	13659	10211
103	13778	10069
104	13893	9924
105	14012	9782
106	14123	9635
107	14240	9493
108	14363	9355
109	14482	9216
110	14590	9069
111	14701	8926
112	14820	8787
113	14938	8648
114	15072	8519
115	15185	8378
116	15300	8238
117	15409	8096
118	15518	7954
119	15623	7811
120	15725	7667
121	15837	7529
122	15944	7388
123	16059	7252
124	16170	7115
125	16274	6974
126	16378	6835
127	16481	6695
128	16588	6558
129	16696	6421
130	16812	6288
131	16917	6151
132	17020	6014
133	17129	5880
134	17237	5745
135	17341	5610
136	17448	5476
137	17552	5342
138	17655	5207
139	17756	5073
140	17862	4940
141	17972	4809
142	18083	4678
143	18187	4546
144	18295	4416
145	18405	4286
146	18513	4156
147	18623	4026
148	18731	3897
149	18846	3769
150	18953	3640
151	19056	3510
152	19170	3383
153	19279	3255
154	19388	3127
155	19516	3002
156	19639	2877
157	19773	2753
158	19905	2628
159	20021	2502
160	20139	2376
161	20257	2250
162	20380	2125
163	20496	1999
164	20619	1874
165	20733	1748
166	20847	1622
167	21011	1500
168	21181	1378
169	21309	1253
170	21422	1127
171	21532	1001
172	21646	875
173	21766	750
174	21881	625
175	21996	499
176	22111	374
177	22235	249
178	22341	124
179	22449	0
